,result,size,start,end
1376871348546048000,SUCCESS,9895,1617106688,1617117421
1372505203625955328,SUCCESS,9883,1616065718,1616070321
1367088026550800384,SUCCESS,9873,1614774162,1614780073
1382654915083505664,FAILURE,10947748,1618485599,1618490723
1385459440416722944,FAILURE,10829030,1619154249,1619158973
1368660500480528384,SUCCESS,9873,1615149069,1615153341
1379237920711380992,SUCCESS,3839,1617670953,1617675542
1377544838467031040,FAILURE,7375848,1617267261,1617272297
1382856877733318656,SUCCESS,3838,1618533749,1618539315
1378260437434372096,SUCCESS,4076,1617437873,1617442329
1383004926317170688,SUCCESS,3838,1618569046,1618574697
1382072081390243840,FAILURE,1719,1618346639,1618346819
1375301460857720832,SUCCESS,9863,1616732397,1616737212
1374571720442122240,SUCCESS,9784,1616558414,1616562649
1382243385359732738,SUCCESS,3835,1618387483,1618392180
1367111239645270016,FAILURE,11326,1614779698,1614782935
1384890899347017728,FAILURE,10967992,1619018699,1619027335
1372269019863715840,SUCCESS,9786,1616009410,1616019207
1382419330339180544,FAILURE,12307750,1618429431,1618438449
1380853651748163584,FAILURE,10715560,1618056142,1618060560
1368215075508195328,SUCCESS,9874,1615042871,1615047089
1386024937822621696,FAILURE,7509,1619289075,1619293672
1369045362622337024,SUCCESS,9876,1615240827,1615247067
1371841428300238848,FAILURE,7330787,1615907462,1615912237
1386784216280207360,FAILURE,10929140,1619470100,1619475835
1369556134997790720,SUCCESS,9875,1615362605,1615366946
1382894934729691136,SUCCESS,3837,1618542823,1618547638
1370074880556404736,FAILURE,53345,1615486290,1615492560
1380100464535670784,FAILURE,10102756,1617876569,1617883307
1371941297396387840,SUCCESS,9883,1615931272,1615939761
1383365557822164992,FAILURE,10888919,1618655028,1618659666
1374110263871016961,FAILURE,36242334,1616448395,1616457298
1368461519750172672,SUCCESS,9875,1615101659,1615105951
1371877672195461120,SUCCESS,9784,1615916103,1615920865
1380067527043846144,FAILURE,19423,1617868717,1617873998
1372832786817224704,SUCCESS,9884,1616143819,1616148982
1374644264507543552,FAILURE,24514,1616575710,1616576844
1377096352835571712,SUCCESS,10113,1617160346,1617164890
1374394161821650944,SUCCESS,9787,1616516081,1616523289
1381329702844633088,SUCCESS,3839,1618169642,1618174379
1383176786765942784,FAILURE,8667736,1618610021,1618616585
1370600246643527680,SUCCESS,9785,1615611541,1615615920
1370719324989296640,SUCCESS,9884,1615639931,1615644473
1369081410089914368,SUCCESS,9775,1615249423,1615253700
1373469451483090944,SUCCESS,9783,1616295613,1616299926
1380909398062272512,FAILURE,10353686,1618069434,1618074729
1380776554778333184,SUCCESS,3836,1618037761,1618042107
1373263050777300992,SUCCESS,9783,1616246403,1616250535
1376063990823653376,SUCCESS,9861,1616914198,1616918333
1384140670821732352,FAILURE,11001344,1618839830,1618846139
1370067236311535616,FAILURE,17608,1615484462,1615490135
1375552061407498240,FAILURE,9618442,1616792145,1616800110
1384118044879491072,FAILURE,10818584,1618834435,1618843735
1368757314324008960,SUCCESS,9873,1615172151,1615176480
1375032083092606976,SUCCESS,9861,1616668173,1616674619
